Indicator;Economic activity;Year;Number of Employees
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2014;N/A
Self-employed (Domestic concept);P Education;2014;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2014;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2014;16731.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2014;N/A
Self-employed (Domestic concept);S Other service activities;2014;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2014;N/A
Total employment (Domestic concept);TOTAL TOTAL;2015;889000.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2015;69840.0
Total employment (Domestic concept);B_C_D_E Industry - total;2015;138371.0
Total employment (Domestic concept);B Mining and quarrying;2015;N/A
Total employment (Domestic concept);C Manufacturing;2015;117419.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2015;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2015;N/A
Total employment (Domestic concept);F Construction;2015;65500.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2015;261833.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2015;233576.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2015;N/A
Total employment (Domestic concept);H Transportation and storage;2015;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2015;N/A
Total employment (Domestic concept);J Information and communication;2015;28257.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2015;110435.0
Total employment (Domestic concept);K Financial and insurance activities;2015;15877.0
Total employment (Domestic concept);L Real estate activities;2015;21864.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2015;72694.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2015;N/A
Total employment (Domestic concept);N Administrative and support service activities;2015;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2015;243021.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2015;197022.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2015;N/A
Total employment (Domestic concept);P Education;2015;N/A
Total employment (Domestic concept);Q Human health and social work activities;2015;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2015;45999.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2015;N/A
Total employment (Domestic concept);S Other service activities;2015;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2015;N/A
Employees (Domestic concept);TOTAL TOTAL;2015;774475.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2015;33777.0
Employees (Domestic concept);B_C_D_E Industry - total;2015;130063.0
Employees (Domestic concept);B Mining and quarrying;2015;N/A
Employees (Domestic concept);C Manufacturing;2015;109587.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2015;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2015;N/A
Employees (Domestic concept);F Construction;2015;55216.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2015;241188.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2015;216452.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2015;N/A
Employees (Domestic concept);H Transportation and storage;2015;N/A
Employees (Domestic concept);I Accommodation and food service activities;2015;N/A
Employees (Domestic concept);J Information and communication;2015;24736.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2015;94542.0
Employees (Domestic concept);K Financial and insurance activities;2015;15353.0
Employees (Domestic concept);L Real estate activities;2015;19541.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2015;59648.0
Employees (Domestic concept);M Professional, scientific and technical activities;2015;N/A
Employees (Domestic concept);N Administrative and support service activities;2015;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2015;219689.0
